ID,Vis,Range,Density,Errors,Time
1, Hash, 10, 5, 0, 2.05092
1, Hash, 10, 5, 1, 2.594456
1, Hash, 10, 5, 0, 1.030781
1, Hash, 10, 5, 0, 1.422715
1, Hash, 10, 5, 0, 1.810216
1, Hash, 10, 5, 0, 1.519034
1, Hash, 10, 5, 0, 1.262941
1, Hash, 10, 5, 0, 1.607521
1, Hash, 10, 5, 0, 1.796675
1, Hash, 10, 5, 0, 1.42204
1, Hash, 10, 10, 2, 5.067773
1, Hash, 10, 10, 0, 1.265664
1, Hash, 10, 10, 1, 3.718315
1, Hash, 10, 10, 0, 1.307903
1, Hash, 10, 10, 1, 4.294429
1, Hash, 10, 10, 0, 2.774659
1, Hash, 10, 10, 0, 4.045359
1, Hash, 10, 10, 1, 4.987151
1, Hash, 10, 10, 0, 1.976958
1, Hash, 10, 10, 2, 8.084403
1, Hash, 5, 5, 2, 4.285006
1, Hash, 5, 5, 0, 3.09172
1, Hash, 5, 5, 1, 2.529675
1, Hash, 5, 5, 0, 2.662422
1, Hash, 5, 5, 0, 1.651644
1, Hash, 5, 5, 0, 3.102105
1, Hash, 5, 5, 0, 2.298477
1, Hash, 5, 5, 0, 1.525008
1, Hash, 5, 5, 0, 3.849522
1, Hash, 5, 5, 0, 2.279821
1, Hash, 5, 10, 2, 2.848273
1, Hash, 5, 10, 0, 2.489959
1, Hash, 5, 10, 0, 4.948691
1, Hash, 5, 10, 1, 4.080851
1, Hash, 5, 10, 3, 10.09507
1, Hash, 5, 10, 0, 2.672073
1, Hash, 5, 10, 1, 3.476897
1, Hash, 5, 10, 2, 5.10715
1, Hash, 5, 10, 0, 2.638039
1, Hash, 5, 10, 0, 2.070059
1, Hash, 10, 5, 0, 2.672992
1, Hash, 10, 5, 0, 1.906926
1, Hash, 10, 5, 0, 1.50826
1, Hash, 10, 5, 0, 1.479434
1, Hash, 10, 5, 0, 2.969013
1, Hash, 10, 5, 0, 1.819834
1, Hash, 10, 5, 0, 1.800455
1, Hash, 10, 5, 0, 1.374071
1, Hash, 10, 5, 0, 1.534617
1, Hash, 10, 5, 0, 2.096079
1, Hash, 10, 10, 2, 5.142369
1, Hash, 10, 10, 0, 3.997429
1, Hash, 10, 10, 1, 5.08828
1, Hash, 10, 10, 2, 11.27964
1, Hash, 10, 10, 0, 3.842386
1, Hash, 10, 10, 1, 4.670853
1, Hash, 10, 10, 0, 5.167685
1, Hash, 10, 10, 2, 8.278185
1, Hash, 10, 10, 0, 3.279267
1, Hash, 10, 10, 0, 3.919651
1, Hash, 5, 5, 1, 3.929086
1, Hash, 5, 5, 1, 3.985308
1, Hash, 5, 5, 0, 2.287018
1, Hash, 5, 5, 1, 3.548842
1, Hash, 5, 5, 0, 2.928102
1, Hash, 5, 5, 1, 4.902808
1, Hash, 5, 5, 0, 5.133278
1, Hash, 5, 5, 1, 3.560112
1, Hash, 5, 5, 2, 8.159054
1, Hash, 5, 5, 1, 7.006296
1, Hash, 5, 10, 8, 13.31128
1, Hash, 5, 10, 2, 5.0874
1, Hash, 5, 10, 2, 7.606059
1, Hash, 5, 10, 1, 3.647873
1, Hash, 5, 10, 8, 9.945085
1, Hash, 5, 10, 0, 3.759734
1, Hash, 5, 10, 0, 3.54869
1, Hash, 5, 10, 1, 3.031273
1, Hash, 5, 10, 0, 2.906803
1, Hash, 5, 10, 0, 3.867656
