ID,Vis,Range,Density,Errors,Time
test, Wedge, 10, 5, 0, 1.753594
test, Wedge, 10, 5, 0, 1.370864
test, Wedge, 10, 5, 0, 1.821002
test, Wedge, 10, 5, 0, 1.448764
test, Wedge, 10, 5, 0, 2.455204
test, Wedge, 10, 5, 0, 1.708551
test, Wedge, 10, 5, 0, 2.08172
test, Wedge, 10, 5, 0, 1.314687
test, Wedge, 10, 5, 0, 1.142737
test, Wedge, 10, 5, 0, 1.805327
test, Wedge, 10, 10, 1, 1.813862
test, Wedge, 10, 10, 0, 2.134
test, Wedge, 10, 10, 0, 1.84378
test, Wedge, 10, 10, 1, 3.948054
test, Wedge, 10, 10, 0, 2.285296
test, Wedge, 10, 10, 0, 2.513557
test, Wedge, 10, 10, 0, 1.663663
test, Wedge, 10, 10, 0, 1.754014
test, Wedge, 10, 10, 1, 4.820808
test, Wedge, 10, 10, 0, 1.559889
test, Wedge, 5, 5, 0, 1.726001
test, Wedge, 5, 5, 0, 1.696237
test, Wedge, 5, 5, 0, 1.783983
test, Wedge, 5, 5, 0, 1.460715
test, Wedge, 5, 5, 0, 1.341343
test, Wedge, 5, 5, 0, 1.400376
test, Wedge, 5, 5, 0, 1.052633
test, Wedge, 5, 5, 0, 1.329314
test, Wedge, 5, 5, 0, 1.325776
test, Wedge, 5, 5, 0, 1.64239
test, Wedge, 5, 10, 0, 1.812371
test, Wedge, 5, 10, 0, 1.266414
test, Wedge, 5, 10, 0, 1.340093
test, Wedge, 5, 10, 1, 4.412915
test, Wedge, 5, 10, 0, 1.367685
test, Wedge, 5, 10, 1, 4.764442
test, Wedge, 5, 10, 0, 1.309675
test, Wedge, 5, 10, 1, 3.596778
test, Wedge, 5, 10, 1, 3.179503
test, Wedge, 5, 10, 0, 1.716906
test, Wedge, 10, 5, 0, 1.984992
test, Wedge, 10, 5, 0, 1.619681
test, Wedge, 10, 5, 0, 1.521331
test, Wedge, 10, 5, 0, 0.9230145
test, Wedge, 10, 5, 0, 1.177518
test, Wedge, 10, 5, 0, 1.159213
test, Wedge, 10, 5, 0, 1.299589
test, Wedge, 10, 5, 1, 2.403358
test, Wedge, 10, 5, 1, 2.406235
test, Wedge, 10, 5, 0, 0.9613504
test, Wedge, 10, 10, 0, 1.549088
test, Wedge, 10, 10, 0, 1.340132
test, Wedge, 10, 10, 0, 1.707905
test, Wedge, 10, 10, 2, 3.737207
test, Wedge, 10, 10, 1, 3.654213
test, Wedge, 10, 10, 3, 6.05651
test, Wedge, 10, 10, 0, 1.520722
test, Wedge, 10, 10, 0, 1.193326
test, Wedge, 10, 10, 0, 1.006313
test, Wedge, 10, 10, 0, 1.232899
test, Wedge, 5, 5, 1, 1.087668
test, Wedge, 5, 5, 0, 1.087374
test, Wedge, 5, 5, 1, 2.440943
test, Wedge, 5, 5, 0, 1.090039
test, Wedge, 5, 5, 0, 1.355139
test, Wedge, 5, 5, 0, 1.685984
test, Wedge, 5, 5, 0, 1.109975
test, Wedge, 5, 5, 0, 1.244253
test, Wedge, 5, 5, 0, 0.8216145
test, Wedge, 5, 5, 0, 1.180697
test, Wedge, 5, 10, 0, 1.829447
test, Wedge, 5, 10, 0, 1.781198
test, Wedge, 5, 10, 2, 4.086761
test, Wedge, 5, 10, 1, 3.2572
test, Wedge, 5, 10, 0, 1.070925
test, Wedge, 5, 10, 0, 1.031822
test, Wedge, 5, 10, 3, 4.383644
test, Wedge, 5, 10, 2, 6.550419
test, Wedge, 5, 10, 0, 1.635155
test, Wedge, 5, 10, 0, 1.116599
