ID,Vis,Range,Density,Errors,Time
5, Wedge, 10, 5, 0, 1.545535
5, Wedge, 10, 5, 0, 1.253586
5, Wedge, 10, 5, 0, 1.346712
5, Wedge, 10, 5, 0, 1.637199
5, Wedge, 10, 5, 0, 1.356207
5, Wedge, 10, 5, 0, 0.9392241
5, Wedge, 10, 5, 0, 0.8999223
5, Wedge, 10, 5, 0, 1.340477
5, Wedge, 10, 5, 0, 1.709122
5, Wedge, 10, 5, 0, 1.330766
5, Wedge, 10, 10, 1, 5.137455
5, Wedge, 10, 10, 1, 2.795103
5, Wedge, 10, 10, 0, 1.007291
5, Wedge, 10, 10, 0, 1.035868
5, Wedge, 10, 10, 0, 2.056794
5, Wedge, 10, 10, 0, 2.103552
5, Wedge, 10, 10, 4, 5.055979
5, Wedge, 10, 10, 0, 1.171566
5, Wedge, 10, 10, 0, 3.766052
5, Wedge, 10, 10, 1, 4.124269
5, Wedge, 5, 5, 0, 1.77497
5, Wedge, 5, 5, 0, 1.333371
5, Wedge, 5, 5, 0, 1.358889
5, Wedge, 5, 5, 0, 1.187305
5, Wedge, 5, 5, 0, 1.219364
5, Wedge, 5, 5, 0, 1.260056
5, Wedge, 5, 5, 0, 1.11692
5, Wedge, 5, 5, 0, 3.135928
5, Wedge, 5, 5, 0, 1.394579
5, Wedge, 5, 5, 0, 1.500121
5, Wedge, 5, 10, 2, 2.233862
5, Wedge, 5, 10, 0, 2.197376
5, Wedge, 5, 10, 2, 1.158488
5, Wedge, 5, 10, 1, 2.96046
5, Wedge, 5, 10, 0, 1.154069
5, Wedge, 5, 10, 0, 1.305282
5, Wedge, 5, 10, 0, 2.731596
5, Wedge, 5, 10, 0, 2.258356
5, Wedge, 5, 10, 1, 1.994332
5, Wedge, 5, 10, 0, 1.056789
5, Wedge, 10, 5, 1, 0.8294945
5, Wedge, 10, 5, 0, 1.937461
5, Wedge, 10, 5, 0, 1.068365
5, Wedge, 10, 5, 0, 1.298104
5, Wedge, 10, 5, 1, 1.517485
5, Wedge, 10, 5, 0, 0.6588804
5, Wedge, 10, 5, 0, 1.908886
5, Wedge, 10, 5, 0, 0.9494517
5, Wedge, 10, 5, 0, 1.070454
5, Wedge, 10, 5, 0, 0.8433468
5, Wedge, 10, 10, 0, 0.7593052
5, Wedge, 10, 10, 1, 0.9754085
5, Wedge, 10, 10, 0, 1.927102
5, Wedge, 10, 10, 0, 0.9481747
5, Wedge, 10, 10, 0, 1.151209
5, Wedge, 10, 10, 0, 0.9613914
5, Wedge, 10, 10, 0, 1.100616
5, Wedge, 10, 10, 0, 1.76475
5, Wedge, 10, 10, 0, 0.9461778
5, Wedge, 10, 10, 0, 0.8145329
5, Wedge, 5, 5, 0, 0.9377255
5, Wedge, 5, 5, 0, 0.9426216
5, Wedge, 5, 5, 0, 0.7939278
5, Wedge, 5, 5, 0, 1.253938
5, Wedge, 5, 5, 0, 1.203424
5, Wedge, 5, 5, 0, 0.9143769
5, Wedge, 5, 5, 0, 0.7525452
5, Wedge, 5, 5, 0, 1.454438
5, Wedge, 5, 5, 0, 0.8902311
5, Wedge, 5, 5, 0, 0.8748503
5, Wedge, 5, 10, 2, 3.258303
5, Wedge, 5, 10, 0, 0.8280968
5, Wedge, 5, 10, 0, 1.97794
5, Wedge, 5, 10, 0, 1.339294
5, Wedge, 5, 10, 0, 1.116834
5, Wedge, 5, 10, 0, 2.027739
5, Wedge, 5, 10, 0, 2.461307
5, Wedge, 5, 10, 3, 4.663642
5, Wedge, 5, 10, 1, 4.22116
5, Wedge, 5, 10, 1, 2.031581
