ID,Vis,Range,Density,Errors,Time
6, Hash, 10, 5, 0, 1.454012
6, Hash, 10, 5, 0, 1.475039
6, Hash, 10, 5, 0, 1.898453
6, Hash, 10, 5, 0, 1.27034
6, Hash, 10, 5, 1, 1.701327
6, Hash, 10, 5, 0, 2.253436
6, Hash, 10, 5, 0, 1.711332
6, Hash, 10, 5, 0, 1.70653
6, Hash, 10, 5, 0, 1.683041
6, Hash, 10, 5, 0, 1.538259
6, Hash, 10, 10, 0, 2.95021
6, Hash, 10, 10, 0, 2.884778
6, Hash, 10, 10, 4, 8.558894
6, Hash, 10, 10, 0, 1.595645
6, Hash, 10, 10, 0, 3.091732
6, Hash, 10, 10, 0, 3.041332
6, Hash, 10, 10, 0, 3.131599
6, Hash, 10, 10, 0, 2.755382
6, Hash, 10, 10, 1, 4.264281
6, Hash, 10, 10, 0, 4.618959
6, Hash, 5, 5, 0, 1.879446
6, Hash, 5, 5, 1, 1.322735
6, Hash, 5, 5, 0, 2.601073
6, Hash, 5, 5, 0, 2.738054
6, Hash, 5, 5, 0, 2.724784
6, Hash, 5, 5, 1, 3.203913
6, Hash, 5, 5, 0, 1.65218
6, Hash, 5, 5, 0, 3.085519
6, Hash, 5, 5, 2, 4.239629
6, Hash, 5, 5, 0, 2.09319
6, Hash, 5, 10, 0, 3.380791
6, Hash, 5, 10, 1, 5.26147
6, Hash, 5, 10, 1, 3.605942
6, Hash, 5, 10, 0, 3.555843
6, Hash, 5, 10, 1, 5.854916
6, Hash, 5, 10, 0, 3.875435
6, Hash, 5, 10, 0, 2.355496
6, Hash, 5, 10, 0, 3.293046
6, Hash, 5, 10, 0, 4.302496
6, Hash, 5, 10, 0, 5.946168
6, Hash, 10, 5, 2, 4.881941
6, Hash, 10, 5, 1, 3.372176
6, Hash, 10, 5, 0, 2.384037
6, Hash, 10, 5, 0, 1.747442
6, Hash, 10, 5, 0, 1.998626
6, Hash, 10, 5, 0, 2.32151
6, Hash, 10, 5, 0, 1.805416
6, Hash, 10, 5, 1, 3.31613
6, Hash, 10, 5, 0, 2.821911
6, Hash, 10, 5, 0, 2.886467
6, Hash, 10, 10, 1, 4.707014
6, Hash, 10, 10, 0, 3.249123
6, Hash, 10, 10, 2, 6.75339
6, Hash, 10, 10, 8, 13.22283
6, Hash, 10, 10, 0, 2.434308
6, Hash, 10, 10, 0, 3.227997
6, Hash, 10, 10, 0, 4.744526
6, Hash, 10, 10, 3, 7.123652
6, Hash, 10, 10, 0, 5.066937
6, Hash, 10, 10, 1, 6.810586
6, Hash, 5, 5, 1, 3.425281
6, Hash, 5, 5, 1, 3.070339
6, Hash, 5, 5, 0, 2.741473
6, Hash, 5, 5, 0, 1.630873
6, Hash, 5, 5, 0, 1.731991
6, Hash, 5, 5, 0, 1.700465
6, Hash, 5, 5, 1, 1.735859
6, Hash, 5, 5, 2, 3.587674
6, Hash, 5, 5, 0, 2.101897
6, Hash, 5, 5, 0, 1.928274
6, Hash, 5, 10, 0, 4.277286
6, Hash, 5, 10, 0, 4.061528
6, Hash, 5, 10, 0, 2.743219
6, Hash, 5, 10, 3, 10.0527
6, Hash, 5, 10, 2, 4.087016
6, Hash, 5, 10, 0, 2.678261
6, Hash, 5, 10, 2, 4.931377
6, Hash, 5, 10, 0, 3.278199
6, Hash, 5, 10, 0, 2.807486
6, Hash, 5, 10, 1, 4.932996
