ID,Vis,Range,Density,Errors,Time
4, Hash, 10, 5, 0, 3.509227
4, Hash, 10, 5, 0, 3.802316
4, Hash, 10, 5, 0, 3.149695
4, Hash, 10, 5, 0, 2.879056
4, Hash, 10, 5, 1, 3.415684
4, Hash, 10, 5, 0, 1.703631
4, Hash, 10, 5, 1, 1.693634
4, Hash, 10, 5, 0, 1.771237
4, Hash, 10, 5, 0, 1.997603
4, Hash, 10, 5, 1, 3.447914
4, Hash, 10, 10, 0, 7.514707
4, Hash, 10, 10, 0, 6.125354
4, Hash, 10, 10, 0, 2.201909
4, Hash, 10, 10, 1, 5.101472
4, Hash, 10, 10, 3, 15.33438
4, Hash, 10, 10, 2, 11.5649
4, Hash, 10, 10, 0, 7.753006
4, Hash, 10, 10, 0, 6.292654
4, Hash, 10, 10, 0, 9.699368
4, Hash, 10, 10, 0, 7.361361
4, Hash, 5, 5, 0, 9.870368
4, Hash, 5, 5, 1, 6.534959
4, Hash, 5, 5, 0, 2.850197
4, Hash, 5, 5, 0, 2.387227
4, Hash, 5, 5, 0, 2.311124
4, Hash, 5, 5, 2, 5.754973
4, Hash, 5, 5, 0, 2.130275
4, Hash, 5, 5, 1, 5.554005
4, Hash, 5, 5, 1, 4.64447
4, Hash, 5, 5, 1, 6.975661
4, Hash, 5, 10, 0, 2.512439
4, Hash, 5, 10, 0, 3.853806
4, Hash, 5, 10, 1, 7.746685
4, Hash, 5, 10, 0, 6.602604
4, Hash, 5, 10, 2, 10.28235
4, Hash, 5, 10, 1, 7.487834
4, Hash, 5, 10, 1, 12.24813
4, Hash, 5, 10, 0, 3.33059
4, Hash, 5, 10, 1, 12.78717
4, Hash, 5, 10, 0, 4.225776
4, Hash, 10, 5, 2, 7.22577
4, Hash, 10, 5, 0, 2.220164
4, Hash, 10, 5, 0, 2.204118
4, Hash, 10, 5, 1, 6.00111
4, Hash, 10, 5, 0, 3.891104
4, Hash, 10, 5, 0, 4.491773
4, Hash, 10, 5, 0, 3.53252
4, Hash, 10, 5, 0, 2.097414
4, Hash, 10, 5, 1, 8.330112
4, Hash, 10, 5, 0, 2.414538
4, Hash, 10, 10, 2, 13.58404
4, Hash, 10, 10, 0, 4.30898
4, Hash, 10, 10, 3, 17.22825
4, Hash, 10, 10, 1, 9.310434
4, Hash, 10, 10, 1, 10.96815
4, Hash, 10, 10, 0, 3.090458
4, Hash, 10, 10, 0, 6.199697
4, Hash, 10, 10, 3, 21.42609
4, Hash, 10, 10, 0, 5.689381
4, Hash, 10, 10, 3, 9.793207
4, Hash, 5, 5, 0, 3.109966
4, Hash, 5, 5, 4, 7.079302
4, Hash, 5, 5, 0, 1.720271
4, Hash, 5, 5, 0, 2.925999
4, Hash, 5, 5, 0, 3.138658
4, Hash, 5, 5, 1, 3.467438
4, Hash, 5, 5, 1, 1.375531
4, Hash, 5, 5, 0, 3.662893
4, Hash, 5, 5, 1, 2.033113
4, Hash, 5, 5, 0, 2.969332
4, Hash, 5, 10, 2, 9.405453
4, Hash, 5, 10, 0, 5.448773
4, Hash, 5, 10, 0, 3.758689
4, Hash, 5, 10, 4, 17.46255
4, Hash, 5, 10, 1, 12.38819
4, Hash, 5, 10, 0, 3.874552
4, Hash, 5, 10, 2, 13.90754
4, Hash, 5, 10, 1, 6.185128
4, Hash, 5, 10, 0, 6.279167
4, Hash, 5, 10, 0, 5.511563
